total_return_pct,annual_return,max_drawdown_pct,sharpe_ratio,win_rate,total_trades,final_assets,start_date,end_date,strategy,dataset,symbol
3.6049138398775114,0.5073536332413697,-5.051394326415477,-0.880222368802958,34.34343434343434,99,103604.91383987752,2015-01-01,2021-12-31,MA Cross,train,510300.SH
6.607865069705279,0.9185628406493728,-4.504007586219212,-0.626268515130671,32.53012048192771,83,106607.86506970528,2015-01-01,2021-12-31,MA Double,train,510300.SH
2.11262045962151,0.2991934755686376,-3.20677205287253,-1.1016898270308737,33.33333333333333,51,102112.62045962152,2015-01-01,2021-12-31,MA Triple,train,510300.SH
5.358998599978134,0.748770582081959,-4.434665964303457,-0.7430018152077158,37.5,104,105358.99859997812,2015-01-01,2021-12-31,MACD Cross,train,510300.SH
5.358998599978134,0.748770582081959,-4.434665964303457,-0.7430018152077158,37.5,104,105358.99859997812,2015-01-01,2021-12-31,MACD Hist,train,510300.SH
7.728067553590809,1.069418053838822,-2.2213512678398564,-0.73357570223213,48.64864864864865,37,107728.0675535908,2015-01-01,2021-12-31,RSI Extreme,train,510300.SH
4.558709233677335,0.6390564371027363,-2.1929195412279454,-1.137349097348692,51.02040816326531,49,104558.70923367732,2015-01-01,2021-12-31,MA+RSI Combo,train,510300.SH
-1.812549407752478,-0.2610464008180324,-3.6863443210981295,-1.8455812981971065,26.666666666666668,30,98187.45059224752,2015-01-01,2021-12-31,Bollinger Band,train,510300.SH
0.0,0.0,0.0,-4.646870357913261e+16,0.0,0,100000.0,2015-01-01,2021-12-31,Bollinger Squeeze,train,510300.SH
7.011166191025696,0.9730303609631452,-4.133369929757553,-0.7116093736852113,42.62295081967213,61,107011.1661910257,2015-01-01,2021-12-31,Volume Confirm,train,510300.SH
8.589991732144554,1.1845789471936818,-2.429145428560852,-0.6739127030258069,45.94594594594595,37,108589.99173214455,2015-01-01,2021-12-31,TA Confluence,train,510300.SH
0.5288214900749444,0.075397395425325,-0.9634835640044164,-3.3551847825070054,50.0,22,100528.82149007494,2015-01-01,2021-12-31,TA Strengthened,train,510300.SH
